source_model;res.partner;target_model;res.partner;;;;
58;sale_warn;selection;;sale_warn;selection;;
59;purchase_warn;selection;;purchase_warn;selection;;
60;color;integer;;color;integer;;
61;invoice_ids;one2many;account.invoice;invoice_ids;one2many;account.move;
62;team_id;many2one;crm.team;team_id;many2one;crm.team;
63;create_date;datetime;;create_date;datetime;;
64;trust;selection;;trust;selection;;
65;property_payment_term_id;many2one;account.payment.term;property_payment_term_id;many2one;account.payment.term;
66;create_uid;many2one;res.users;create_uid;many2one;res.users;
67;user_id;many2one;res.users;user_id;many2one;res.users;
68;message_is_follower;boolean;;message_is_follower;boolean;;
69;__last_update;datetime;;__last_update;datetime;;
70;email_formatted;char;;email_formatted;char;;
71;im_status;char;;im_status;char;;
72;last_website_so_id;many2one;sale.order;last_website_so_id;many2one;sale.order;
73;last_time_entries_checked;datetime;;last_time_entries_checked;datetime;;
74;type;selection;;type;selection;;
75;vat;char;;vat;char;;
76;function;char;;function;char;;
77;picking_warn_msg;text;;picking_warn_msg;text;;
78;payment_token_count;integer;;payment_token_count;integer;;
79;phone;char;;phone;char;;
80;website_meta_description;text;;website_meta_description;text;;
81;task_count;integer;;task_count;integer;;
82;payment_token_ids;one2many;payment.token;payment_token_ids;one2many;payment.token;
83;property_purchase_currency_id;many2one;res.currency;property_purchase_currency_id;many2one;res.currency;
84;sale_order_ids;one2many;sale.order;sale_order_ids;one2many;sale.order;
85;state_id;many2one;res.country.state;state_id;many2one;res.country.state;
86;invoice_warn_msg;text;;invoice_warn_msg;text;;
87;website;char;;website;char;;
88;property_account_payable_id;many2one;account.account;property_account_payable_id;many2one;account.account;
89;message_channel_ids;many2many;mail.channel;message_channel_ids;many2many;mail.channel;
90;message_partner_ids;many2many;res.partner;message_partner_ids;many2many;res.partner;
91;company_type;selection;;company_type;selection;;
92;signup_type;char;;signup_type;char;;
93;property_account_receivable_id;many2one;account.account;property_account_receivable_id;many2one;account.account;
94;message_ids;one2many;mail.message;message_ids;one2many;mail.message;
95;date;date;;date;date;;
96;self;many2one;res.partner;self;many2one;res.partner;
97;bank_account_count;integer;;bank_account_count;integer;;
98;id;integer;;id;integer;;
99;property_account_position_id;many2one;account.fiscal.position;property_account_position_id;many2one;account.fiscal.position;
100;website_meta_title;char;;website_meta_title;char;;
101;company_name;char;;company_name;char;;
102;property_stock_supplier;many2one;stock.location;property_stock_supplier;many2one;stock.location;
103;website_published;boolean;;website_published;boolean;;
104;website_url;char;;website_url;char;;
105;bank_ids;one2many;res.partner.bank;bank_ids;one2many;res.partner.bank;
106;write_date;datetime;;write_date;datetime;;
107;property_stock_customer;many2one;stock.location;property_stock_customer;many2one;stock.location;
108;website_short_description;text;;website_short_description;text;;
109;category_id;many2many;res.partner.category;category_id;many2many;res.partner.category;
110;lang;selection;;lang;selection;;
111;credit_limit;float;;credit_limit;float;;
112;purchase_warn_msg;text;;purchase_warn_msg;text;;
113;mobile;char;;mobile;char;;
114;partner_share;boolean;;partner_share;boolean;;
115;website_description;html;;website_description;html;;
116;sale_warn_msg;text;;sale_warn_msg;text;;
