source_model;account.account;target_model;account.account;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;create_uid;many2one;res.users;create_uid;many2one;res.users;
2;internal_type;selection;;internal_type;selection;;
3;display_name;char;;display_name;char;;
4;name;char;;name;char;;
5;__last_update;datetime;;__last_update;datetime;;
6;deprecated;boolean;;deprecated;boolean;;
7;tag_ids;many2many;account.account.tag;tag_ids;many2many;account.account.tag;
8;company_id;many2one;res.company;company_id;many2one;res.company;
9;write_uid;many2one;res.users;write_uid;many2one;res.users;
10;currency_id;many2one;res.currency;currency_id;many2one;res.currency;
11;note;text;;note;text;;
12;code;char;;code;char;;
13;write_date;datetime;;write_date;datetime;;
14;user_type_id;many2one;account.account.type;user_type_id;many2one;account.account.type;
15;create_date;datetime;;create_date;datetime;;
16;id;integer;;id;integer;;
17;reconcile;boolean;;reconcile;boolean;;
18;tax_ids;many2many;account.tax;tax_ids;many2many;account.tax;
19;;;;create_asset;selection;no;
