model,account.report.general.ledger,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,initial_balance,boolean,,Include Initial Balances
3,display_name,char,,Display Name
4,__last_update,datetime,,Last Modified on
5,display_account,selection,,Display Accounts
6,date_from,date,,Start Date
7,journal_ids,many2many,account.journal,Journals
8,company_id,many2one,res.company,Company
9,sortby,selection,,Sort by
10,write_date,datetime,,Last Updated on
11,date_to,date,,End Date
12,create_date,datetime,,Created on
13,write_uid,many2one,res.users,Last Updated by
14,id,integer,,ID
15,target_move,selection,,Target Moves
,,,,
16,account_ids,many2many,account.account,Accounts
,,,,
,,,,
