model,res.subdistrict.ongkir,transient,False
12,iteration_activate_record_rules,boolean,,Activate Record Rules
13,tableau_url,char,,Tableau Dashboard
14,iteration_model,char,,Model
15,iteration_sort_by,many2one,ir.model.fields,Sort By
16,write_date,datetime,,Last Updated on
17,display_name,char,,Display Name
18,iteration_sort,selection,,Sort
19,block_ids,one2many,web.dashboard.block,Blocks
20,hide_individually,boolean,,Hide as an Individual Dashboard
21,parent_menu_id,many2one,ir.ui.menu,Add Dashboard Under Menu
22,group_ids,many2many,res.groups,Groups
23,iteration_domain,char,,Iteration Filter
24,name,char,,Name
25,iteration_user_field_id,many2one,ir.model.fields,User Field
,,,,
,,,,
model,sync.model,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,domain,text,,Filtering
3,display_name,char,,Display Name
4,name,char,,Folder name
5,model_id,many2one,ir.model,Model to sync
6,__last_update,datetime,,Last Modified on
7,nosyncd,boolean,,Not synced
8,last_sync_datetime,datetime,,Direct Sync Time
9,sync_object_ids,one2many,sync.object,Objects Folders
10,write_uid,many2one,res.users,Last Updated by
11,create_date,datetime,,Created on
12,sequence,integer,,Sequence
13,key,char,,ID in client
14,write_date,datetime,,Last Updated on
15,path,char,,Path
16,model,char,,Model
17,synced_name,char,,Synced name
18,last_backward_sync_datetime,datetime,,Direct Backward Sync Time
19,id,integer,,ID
,,,,
,,,,
model,dev.relational.field,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,many2one,ir.model.fields,Name
4,__last_update,datetime,,Last Modified on
5,sequence,integer,,Sequence
6,label,char,,Label
7,write_uid,many2one,res.users,Last Updated by
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,model_id,many2one,ir.model,model
11,export_id,many2one,dev.export,Export
12,id,integer,,ID
13,ref_field,many2one,ir.model.fields,Relation Field
,,,,
,,,,
model,product.tag,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,image,binary,,Image
6,write_uid,many2one,res.users,Last Updated by
7,product_template_ids,many2many,product.template,Product Template
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,id,integer,,ID
,,,,
,,,,
model,area.category,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,state_ids,many2many,res.country.state,Provinces
6,write_uid,many2one,res.users,Last Updated by
7,city_ids,many2many,res.city.ongkir,Cities
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,id,integer,,ID
,,,,
,,,,
model,mart.consumption,transient,False
no,field,type,relation,string
1,box_value,float,,Box
2,week,char,,Week
3,create_uid,many2one,res.users,Created by
4,plastik_value,float,,Plastik
5,display_name,char,,Display Name
6,name,char,,Name
7,__last_update,datetime,,Last Modified on
8,write_uid,many2one,res.users,Last Updated by
9,rm_value,float,,Raw Material
10,year,char,,Year
11,month,char,,Month
12,total_hpp_value,float,,Total HPP
13,write_date,datetime,,Last Updated on
14,hpp_value,float,,HPP
15,date,char,,Date
16,create_date,datetime,,Created on
17,stiker_value,float,,Stiker
18,other_value,float,,Other
19,id,integer,,ID
20,kemasan_value,float,,Kemasan
,,,,
,,,,
model,document.name,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,stage_id,many2one,project.task.type,Alur Proses
3,display_name,char,,Display Name
4,name,char,,Name
5,__last_update,datetime,,Last Modified on
6,type_doc,selection,,Type Dokumen
7,write_date,datetime,,Last Updated on
8,create_date,datetime,,Created on
9,write_uid,many2one,res.users,Last Updated by
10,id,integer,,ID
,,,,
,,,,
model,product.discussion,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,text,,Discussion
4,__last_update,datetime,,Last Modified on
5,image,binary,,Image
6,sender_id,many2one,res.users,Sender
7,reply_ids,one2many,product.discussion.reply,Reply
8,write_uid,many2one,res.users,Last Updated by
9,write_date,datetime,,Last Updated on
10,create_date,datetime,,Created on
11,id,integer,,ID
12,product_id,many2one,product.template,Product
,,,,
,,,,
model,notification.subtype,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,web.dashboard.block,transient,False
no,field,type,relation,string
1,function_model,char,,Function Model
2,sort,selection,,Sort
3,domain,char,,Flexible Filter (Slow Performance)
4,create_date,datetime,,Created on
5,group_field_id_model_name,char,,Group By Model
6,subdomain_values_string,text,,Sub Filter Values
7,auto_refresh_seconds,integer,,Auto Refresh (Seconds)
8,activate_record_rules,boolean,,Activate Record Rules
9,subgroup_relation_field_id,many2one,ir.model.fields, 
10,time_calculation_method,selection,,Calculation Method
11,user_field_id,many2one,ir.model.fields,User Field
12,write_uid,many2one,res.users,Last Updated by
13,dashboard_id,many2one,web.dashboard,Dashboard
14,group_field_ttype,selection,,Field Type
15,subgroup_field_id_model_name,char,,Sub Group By Model
16,show_group_others,boolean,,Show Others
17,action_group_list_view,boolean,,Group List View
18,block_type,selection,,Block Type
19,operation,selection,,Operation
20,block_size,selection,,Block Size
21,id,integer,,ID
22,create_uid,many2one,res.users,Created by
23,display_name,char,,Display Name
24,calc_domain,char,,Flexible Filter (Slow Performance)
25,tile_color,char,,Tile Color
26,__last_update,datetime,,Last Modified on
27,name,char,,Name
28,calc_subdomain_values_string,text,,Sub Filter Values
29,show_group,boolean,,Show Group If Empty
30,others_operation,selection,,Others Operation
31,barang_masuk_id,many2one,_unknown,Barang Masuk
32,function_function,char,,Function Name
33,field_ids,many2many,ir.model.fields,Fields
34,domain_values_string,text,,Filter Values
35,group_field_id,many2one,ir.model.fields,Group By
36,active,boolean,,Active
37,custom_type_name,char,,Custom Type Name
38,menu_id,many2one,ir.ui.menu,Open Menu
39,model_id,many2one,ir.model,Model
40,domain_date_field_id,many2one,ir.model.fields,Date Field
41,block_iteration_domain,char,,Iteration Filter
42,description,html,,Chart Description
43,action_group_field_ids,one2many,action.group.field,Action Group Fields
44,subgroup_limit,integer,,Limit
45,group_limit_selection,selection,,Group limit selection
46,field_id,many2one,ir.model.fields,Measured Field
47,target_description,html,,Target Description
48,group_date_format,selection,,Date Format
49,subdomain_values_field_id,many2one,ir.model.fields,Sub Filter By
50,link,char,,Open URL
51,write_date,datetime,,Last Updated on
52,subgroup_field_id,many2one,ir.model.fields,Sub Group By
53,subgroup_limit_selection,selection,,Subgroup limit selection
54,dashboard_iteration_domain_field_id,many2one,ir.model.fields,Domain Field
55,seasonal_number,integer,,Seasonal Number
56,subgroup_date_format,selection,,Sub Group Date Format
57,tile_icon,char,,Tile Icon
58,target_value,float,,Target
59,group_limit,integer,,Limit
60,show_metadata,boolean,,Show Metadata
61,data_source,selection,,Data Source
62,domain_line_ids,one2many,web.domain.line,Domains
63,show_subgroup_others,boolean,,Show Others
64,show_subgroup,boolean,,Show Sub Group If Empty
65,kpi_target_ids,one2many,web.dashboard.kpi.target,KPI Target
66,domain_date,selection,,Date Filter
67,calc_domain_values_field_id,many2one,ir.model.fields,Filter By
68,calc_option,selection,,Calculation
69,sort_by,many2one,ir.model.fields,Sort By
70,calc_domain_values_string,text,,Filter Values
71,domain_values_field_id,many2one,ir.model.fields,Filter By
72,limit,integer,,Limit
73,calc_subdomain_values_field_id,many2one,ir.model.fields,Sub Filter By
74,action_dashboard_id,many2one,web.dashboard,Open Dashboard
75,subgroup_field_ttype,selection,,Field Type
76,group_relation_field_id,many2one,ir.model.fields, 
77,model,char,,Model
78,sequence,integer,,Sequence
79,block_iteration,boolean,,Iterate Block
80,dashboard_iteration_model,char,,Iteration Model
,,,,
,,,,
model,utm.source,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Source Name
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,res.religion,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Religion
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,crm.stage,transient,False
failed to get fields list of crm.stage
,,,,
model,product.discount,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,product_id,many2one,product.product,Product Variant
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,discount,float,,Discount (%)
7,product_template_id,many2one,product.template,Product Template
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,min_qty,float,,Minimal Quantity
11,partner_id,many2one,res.partner,Partner
12,id,integer,,ID
,,,,
,,,,
model,res.race,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,RAS
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,crm.activity.report,transient,False
failed to get fields list of crm.activity.report
,,,,
model,base.partner.merge.line,transient,True
failed to get fields list of base.partner.merge.line
,,,,
model,utm.medium,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Channel Name
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,active,boolean,,Active
8,display_name,char,,Display Name
9,id,integer,,ID
,,,,
,,,,
model,makloon.product.line.wizard,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,stage_id,many2one,project.task.type,Stage
3,display_name,char,,Display Name
4,product_id,many2one,product.template,Nama Produk
5,stock_dke,float,,Stock DKE
6,__last_update,datetime,,Last Modified on
7,task_id,many2one,project.task,Task
8,is_readonly,boolean,,Readonly
9,write_uid,many2one,res.users,Last Updated by
10,kemasan,selection,,Kemasan
11,write_date,datetime,,Last Updated on
12,stock_ciawi,float,,Stock Ciawi
13,create_date,datetime,,Created on
14,id,integer,,ID
,,,,
,,,,
model,production.order.line,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,product_qty,float,,Request
3,display_name,char,,Display Name
4,product_id,many2one,product.product,Product
5,picking_type_id,many2one,stock.picking.type,Warehouse
6,order_id,many2one,production.order,Order
7,product_uom_id,many2one,product.uom,UoM
8,notes,text,,Notes
9,__last_update,datetime,,Last Modified on
10,write_uid,many2one,res.users,Last Updated by
11,product_tmpl_id,many2one,product.template,Product Template
12,state,selection,,State
13,qty_done,float,,Done
14,write_date,datetime,,Last Updated on
15,qty_billed,float,,Billed
16,bom_id,many2one,mrp.bom,BoM
17,order_state,selection,,Status
18,create_date,datetime,,Created on
19,id,integer,,ID
20,mrp_id,many2one,mrp.production,MO
,,,,
,,,,
model,expert.option,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Name
4,sequence,integer,,Sequence
5,__last_update,datetime,,Last Modified on
6,next_condition_final,boolean,,Next is Final
7,next_condition_id,many2one,expert.condition,Next Condition
8,write_uid,many2one,res.users,Last Updated by
9,write_date,datetime,,Last Updated on
10,id,integer,,ID
11,create_date,datetime,,Created on
12,condition_id,many2one,expert.condition,Condition
13,desc,text,,Description
,,,,
,,,,
model,makloon.document.line,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,is_rangkapdua,boolean,,Rangkap 2
3,is_approve,boolean,,Status Approval
4,task_id,many2one,project.task,Task
5,__last_update,datetime,,Last Modified on
6,file_name,char,,Filename
7,upload_file,binary,,File Dokumen
8,approve_by,many2one,res.users,Approved By
9,makloon_doc_id,many2one,document.name,Nama Document
10,stage_id,many2one,project.task.type,Stage
11,type_doc,selection,,Type Dokumen
12,write_date,datetime,,Last Updated on
13,upload_time,datetime,,Tanggal Upload
14,upload_by,many2one,res.users,Uploaded By
15,create_date,datetime,,Created on
16,stage_line,char,,Alur Proses
17,write_uid,many2one,res.users,Last Updated by
18,id,integer,,ID
19,is_hide_approver,boolean,,Hiding
20,display_name,char,,Display Name
,,,,
,,,,
model,action.group.field,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,block_type,selection,,Block Type
3,block_id,many2one,web.dashboard.block,Dashboard Block
4,sequence,integer,,Sequence
5,__last_update,datetime,,Last Modified on
6,field_id,many2one,ir.model.fields,Field
7,write_uid,many2one,res.users,Last Updated by
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,model_id,many2one,ir.model,Model
11,id,integer,,ID
12,display_name,char,,Display Name
,,,,
,,,,
model,kpi.unit,transient,False
failed to get fields list of kpi.unit
,,,,
model,scheduler.do,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,__last_update,datetime,,Last Modified on
4,write_uid,many2one,res.users,Last Updated by
5,write_date,datetime,,Last Updated on
6,display_name,char,,Display Name
7,id,integer,,ID
,,,,
,,,,
model,dev.export.wizard,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,__last_update,datetime,,Last Modified on
4,write_uid,many2one,res.users,Last Updated by
5,write_date,datetime,,Last Updated on
6,display_name,char,,Display Name
7,id,integer,,ID
,,,,
,,,,
model,bca.statement.wizard,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,bca_api_action,selection,,Action
3,test_response,boolean,,Test Response
4,display_name,char,,Display Name
5,__last_update,datetime,,Last Modified on
6,bca_api_end_date,date,,End Date
7,bca_api_start_date,date,,Start Date
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,write_uid,many2one,res.users,Last Updated by
11,id,integer,,ID
,,,,
,,,,
model,crm.activity,transient,False
failed to get fields list of crm.activity
,,,,
model,wizard.report.bstb,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,write_date,datetime,,Last Updated on
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,paper_size,selection,,Paper Size
7,report_type,selection,,Type
8,display_name,char,,Display Name
9,id,integer,,ID
,,,,
,,,,
model,stock.control.report,transient,False
no,field,type,relation,string
1,qty_max_dke,float,,Qty Max DKE
2,display_name,char,,Display Name
3,name,char,,Label
4,qty_min_dke,float,,Qty Min DKE
5,qty_low_dke,float,,Qty Low DKE
6,__last_update,datetime,,Last Modified on
7,id,integer,,ID
8,stock_status_dke,selection,,Stock Status
9,value_dke,float,,Valuation DKE
10,qty_high_dke,float,,Qty High DKE
11,qty_dke,float,,Qty DKE
12,product_id,many2one,product.product,Product
,,,,
,,,,
model,sale.wishlist.line,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,product_id,many2one,product.product,Product
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,product_tmpl_id,many2one,product.template,Product Template
7,wishlist_id,many2one,sale.wishlist,Wishlist
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,id,integer,,ID
,,,,
,,,,
model,wizard.report.invoice,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,write_date,datetime,,Last Updated on
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,paper_size,selection,,Paper Size
7,report_type,selection,,Type
8,display_name,char,,Display Name
9,id,integer,,ID
,,,,
,,,,
model,mrp.bom.labour.line,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,note,text,,Note
3,display_name,char,,Display Name
4,labour_cost_profile_id,many2one,labour.cost.profile,Labour Cost Profile
5,__last_update,datetime,,Last Modified on
6,write_uid,many2one,res.users,Last Updated by
7,company_currency_id,many2one,res.currency,Company Currency
8,labour_time,float,,Labour Time
9,write_date,datetime,,Last Updated on
10,bom_id,many2one,mrp.bom,Labour Lines
11,create_date,datetime,,Created on
12,id,integer,,ID
13,labour_cost_subtotal,float,,Subtotal
,,,,
,,,,
model,res.contact,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,number,char,,Contact Number
6,write_uid,many2one,res.users,Last Updated by
7,write_date,datetime,,Last Updated on
8,display_name,char,,Display Name
9,id,integer,,ID
,,,,
,,,,
model,utm.mixin,transient,False
no,field,type,relation,string
1,display_name,char,,Display Name
2,medium_id,many2one,utm.medium,Medium
3,__last_update,datetime,,Last Modified on
4,campaign_id,many2one,utm.campaign,Campaign
5,source_id,many2one,utm.source,Source
6,id,integer,,ID
,,,,
,,,,
model,delivery.carrier,transient,False
no,field,type,relation,string
1,code,char,,Internal Reference
2,incoming_qty,float,,Incoming
3,standard_price,float,,Cost
4,write_uid,many2one,res.users,Last Updated by
5,sales_count,integer,,# Sales
6,description_mobile,text,,Description
7,availability,selection,,Availability
8,partner_ref,char,,Customer Ref
9,display_name,char,,Display Name
10,price_rule_ids,one2many,delivery.price.rule,Pricing Rules
11,item_ids,one2many,product.pricelist.item,Pricelist Items
12,route_from_categ_ids,many2many,stock.location.route,Category Routes
13,company_id,many2one,res.company,Company
14,discount_ids,one2many,product.discount,Discounts
15,prod_environment,boolean,,Environment
16,rating_count,integer,,Rating count
17,track_service,selection,,Track Service
18,purchase_line_warn_msg,text,,Message for Purchase Order Line
19,pricelist_id,many2one,product.pricelist,Pricelist
20,property_stock_account_input,many2one,account.account,Stock Input Account
21,uom_po_id,many2one,product.uom,Purchase Unit of Measure
22,reception_count,integer,,Receipt
23,bom_ids,one2many,mrp.bom,Bill of Materials
24,warehouse_id,many2one,stock.warehouse,Warehouse
25,route_ids,many2many,stock.location.route,Routes
26,reordering_max_qty,float,,Reordering max qty
27,website_style_ids,many2many,product.style,Styles
28,rental,boolean,,Can be Rent
29,product_sale_ok,boolean,,Can be Sold
30,pricelist_item_ids,many2many,product.pricelist.item,Pricelist item ids
31,name,char,,Name
32,website_description,text,,Description for Online Quotations
33,image_medium,binary,,Medium-sized image
34,deferred_revenue_category_id,many2one,account.asset.category,Deferred Revenue Type
35,packaging_ids,one2many,product.packaging,Logistical Units
36,image_url,char,,URL Image
37,free_if_more_than,boolean,,Free if Order total is more than
38,seller_ids,one2many,product.supplierinfo,Vendors
39,product_image_ids,one2many,product.image,Images
40,website_message_ids,one2many,mail.message,Website Comments
41,accessory_product_ids,many2many,product.product,Accessory Products
42,message_follower_ids,one2many,mail.followers,Followers
43,orderpoint_ids,one2many,stock.warehouse.orderpoint,Minimum Stock Rules
44,create_date,datetime,,Created on
45,zip_to,char,,Zip To
46,weight,float,,Weight
47,sequence,integer,,Sequence
48,message_needaction,boolean,,Action Needed
49,attribute_line_ids,one2many,product.attribute.line,Product Attributes
50,currency_id,many2one,res.currency,Currency
51,website_public_price,float,,Website public price
52,mo_count,integer,,# Manufacturing Orders
53,id,integer,,ID
54,stock_move_ids,one2many,stock.move,Stock move ids
55,virtual_available,float,,Forecast Quantity
56,description_picking,text,,Description on Picking
57,sale_delay,float,,Customer Lead Time
58,product_tmpl_id,many2one,product.template,Product Template
59,message_unread_counter,integer,,Unread Messages Counter
60,available,boolean,,Available
61,rebrand_reference_product_id,many2one,product.template,Original Product
62,barcode,char,,Barcode
63,discount,float,,Default Discount to this Product
64,fp_export,boolean,,OB Is Exported
65,product_group_id,many2one,product.group,Group
66,website_meta_keywords,char,,Website meta keywords
67,active,boolean,,Active
68,website_price_difference,boolean,,Website price difference
69,rating_ids,one2many,rating.rating,Rating
70,product_variant_count,integer,,# Product Variants
71,rebrand_customer_id,many2one,res.partner,Rebrand Customer
72,product_id,many2one,product.product,Delivery Product
73,task_id,many2one,project.task,Task
74,state_ids,many2many,res.country.state,States
75,expert_ids,many2many,expert.condition,Expert System Conditions
76,amount,float,,Amount
77,jnt_type,selection,,J&T Type
78,integration_level,selection,,Integration Level
79,reordering_min_qty,float,,Reordering min qty
80,message_unread,boolean,,Unread Messages
81,message_needaction_counter,integer,,Number of Actions
82,warranty,float,,Warranty
83,property_stock_procurement,many2one,stock.location,Procurement Location
84,fixed_price,float,,Fixed Price
85,list_price,float,,Sale Price
86,color,integer,,Color Index
87,public_categ_ids,many2many,product.public.category,Website Product Category
88,country_ids,many2many,res.country,Countries
89,sale_line_warn_msg,text,,Message for Sales Order Line
90,stock_quant_ids,one2many,stock.quant,Stock quant ids
91,qty_available,float,,Quantity On Hand
92,can_be_expensed,boolean,,Can be Expensed
93,delivery_carrier_product,boolean,,Delivery Service
94,create_uid,many2one,res.users,Created by
95,asset_category_id,many2one,account.asset.category,Asset Type
96,sale_ok,boolean,,Can be Sold
97,message_is_follower,boolean,,Is Follower
98,__last_update,datetime,,Last Modified on
99,purchase_method,selection,,Control Purchase Bills
100,purchase_ok,boolean,,Can be Purchased
101,message_last_post,datetime,,Last Message Date
102,website_price,float,,Website price
103,property_valuation,selection,,Inventory Valuation
104,hs_code,char,,HS Code
105,property_cost_method,selection,,Costing Method
106,type,selection,,Product Type
107,rating_last_value,float,,Rating Last Value
108,delivery_type,selection,,Provider
109,website_size_y,integer,,Size Y
110,property_stock_production,many2one,stock.location,Production Location
111,supplier_taxes_id,many2many,account.tax,Vendor Taxes
112,jne_type,selection,,JNE Type
113,website_meta_description,text,,Website meta description
114,description_sale,text,,Sale Description
115,property_stock_inventory,many2one,stock.location,Inventory Location
116,cost_method,char,,Cost method
117,valuation,char,,Valuation
118,bom_count,integer,,# Bill of Material
119,alternative_product_ids,many2many,product.template,Alternative Products
120,product_variant_ids,one2many,product.product,Products
121,property_account_expense_id,many2one,account.account,Expense Account
122,purchase_line_warn,selection,,Purchase Order Line
123,image_small,binary,,Small-sized image
124,property_stock_account_output,many2one,account.account,Stock Output Account
125,zip_from,char,,Zip From
126,description_purchase,text,,Purchase Description
127,attribute_value_ids,many2many,product.attribute.value,Attributes
128,margin,integer,,Margin
129,sale_line_warn,selection,,Sales Order Line
130,nbr_reordering_rules,integer,,Reordering Rules
131,video_url,char,,Video URL
132,message_channel_ids,many2many,mail.channel,Followers (Channels)
133,message_partner_ids,many2many,res.partner,Followers (Partners)
134,sell_mobile,boolean,,Sell to Mobile App
135,price_extra,float,,Variant Price Extra
136,uom_id,many2one,product.uom,Unit of Measure
137,default_code,char,,Internal Reference
138,location_id,many2one,stock.location,Location
139,message_ids,one2many,mail.message,Messages
140,delivery_count,integer,,Delivery
141,brand_ids,many2many,product.brand,Product Brand
142,image,binary,,Image
143,availability_warning,text,,Availability Warning
144,lst_price,float,,Sale Price
145,review_ids,one2many,product.review,Reviews
146,image_variant,binary,,Variant Image
147,website_meta_title,char,,Website meta title
148,qty_check,boolean,,Check Qty on E-commerce
149,default_carrier,boolean,,Default
150,website_url,char,,Website URL
151,taxes_id,many2many,account.tax,Customer Taxes
152,property_account_income_id,many2one,account.account,Income Account
153,description,text,,Description
154,banner_ids,many2many,sale.banner,Banner
155,price,float,,Price
156,expense_policy,selection,,Re-Invoice Expenses
157,write_date,datetime,,Last Updated on
158,categ_id,many2one,product.category,Internal Category
159,materi_ids,many2many,res.materi,File Materi
160,purchase_count,integer,,# Purchases
161,volume,float,,Volume
162,tracking,selection,,Tracking
163,product_type,selection,,Product Type
164,produce_delay,float,,Manufacturing Lead Time
165,property_account_creditor_price_difference,many2one,account.account,Price Difference Account
166,website_sequence,integer,,Website Sequence
167,website_published,boolean,,Visible in Website
168,tiki_type,selection,,Tiki Type
169,outgoing_qty,float,,Outgoing
170,invoice_policy,selection,,Invoicing Policy
171,discussion_ids,one2many,product.discussion,Discussions
172,website_size_x,integer,,Size X
173,tag_ids,many2many,product.tag,Product Tag
174,fp_date,datetime,,OB Exported Date
175,product_variant_id,many2one,product.product,Product
,,,,
,,,,
model,google.drive.client,transient,False
no,field,type,relation,string
1,display_name,char,,Display Name
2,id,integer,,ID
3,__last_update,datetime,,Last Modified on
,,,,
,,,,
model,news.feed.reply,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,user_id,many2one,res.users,User
3,name,text,,Description
4,__last_update,datetime,,Last Modified on
5,reply_ids,one2many,news.feed.reply,Replies
6,write_uid,many2one,res.users,Last Updated by
7,feed_id,many2one,news.feed,Feed
8,reply_id,many2one,news.feed.reply,Reply of
9,write_date,datetime,,Last Updated on
10,create_date,datetime,,Created on
11,id,integer,,ID
12,display_name,char,,Display Name
,,,,
,,,,
model,analysis.stock.quant,transient,False
no,field,type,relation,string
1,incoming_date,datetime,,Incoming Date
2,location_name,char,,Location Name
3,stock_qty,float,,Qty
4,__last_update,datetime,,Last Modified on
5,storage_duration_category,selection,,Stock Status
6,categ_name,char,,Category Name
7,company_id,many2one,res.company,Company
8,id,integer,,ID
9,stock_duration,float,,Stock Duration (Days)
10,display_name,char,,Display Name
11,stock_value,float,,Valuation
12,product_name,char,,Product Name
,,,,
,,,,
model,partner.user,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,__last_update,datetime,,Last Modified on
4,user_data,one2many,user.datas,User data
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,sync.log,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,text,,Message
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,ttype,selection,,Type
8,log_time,datetime,,Log Time
9,id,integer,,ID
10,display_name,char,,Display Name
,,,,
,,,,
model,stock.picking.tracking.details,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,date_time,datetime,,Date Time
3,display_name,char,,Display Name
4,name,char,,Description
5,__last_update,datetime,,Last Modified on
6,write_uid,many2one,res.users,Last Updated by
7,write_date,datetime,,Last Updated on
8,picking_id,many2one,stock.picking,Picking
9,create_date,datetime,,Created on
10,id,integer,,ID
,,,,
,,,,
model,wizard.report.stock.picking,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,write_date,datetime,,Last Updated on
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,paper_size,selection,,Paper Size
7,report_type,selection,,Type
8,display_name,char,,Display Name
9,id,integer,,ID
,,,,
,,,,
model,product.group,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,attribute_line_ids,one2many,product.attribute.line,Attribute
6,write_uid,many2one,res.users,Last Updated by
7,write_date,datetime,,Last Updated on
8,create_date,datetime,,Created on
9,id,integer,,ID
10,product_tmpl_ids,one2many,product.template,Products
,,,,
,,,,
model,user.datas,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,groups_id,many2many,res.groups,Groups
3,create_date,datetime,,Created on
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,rel_id,many2one,partner.user,Rel id
8,login,char,,Login
9,password,char,,Password
10,partner_id,many2one,res.partner,Partner
11,id,integer,,ID
12,display_name,char,,Display Name
,,,,
,,,,
