model,res.subdistrict.ongkir,transient,False
,,,,
,,,,
model,account.invoice.tag,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Name
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,crm.lead.lost,transient,True
failed to get fields list of crm.lead.lost
,,,,
model,utm.campaign,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,name,char,,Campaign Name
4,__last_update,datetime,,Last Modified on
5,write_uid,many2one,res.users,Last Updated by
6,write_date,datetime,,Last Updated on
7,display_name,char,,Display Name
8,id,integer,,ID
,,,,
,,,,
model,kpi.kpi,transient,False
failed to get fields list of kpi.kpi
,,,,
model,nomor.faktur.pajak,transient,False
no,field,type,relation,string
1,message_follower_ids,one2many,mail.followers,Followers
2,nomor_urut,char,,Nomor Urut
3,message_needaction,boolean,,Action Needed
4,message_channel_ids,many2many,mail.channel,Followers (Channels)
5,message_partner_ids,many2many,res.partner,Followers (Partners)
6,number,char,,Nomor eFaktur
7,nomor_perusahaan,char,,Nomor Perusahaan
8,write_uid,many2one,res.users,Last Updated by
9,currency_id,many2one,res.currency,Currency
10,create_date,datetime,,Created on
11,partner_id,many2one,res.partner,Partner
12,message_ids,one2many,mail.message,Messages
13,create_uid,many2one,res.users,Created by
14,amount_untaxed,monetary,,Untaxed Amount
15,message_is_follower,boolean,,Is Follower
16,__last_update,datetime,,Last Modified on
17,message_last_post,datetime,,Last Message Date
18,company_id,many2one,res.company,Invoice Company
19,id,integer,,ID
20,amount_tax,monetary,,Tax Amount
21,state,selection,,Status
22,fp_company_id,many2one,res.company,Faktur Pajak Company
23,invoice_revisi_id,many2one,account.invoice,Revision Invoice
24,message_unread_counter,integer,,Unread Messages Counter
25,type,selection,,Type
26,date_invoice,date,,Date Used
27,partner_revisi_id,many2one,res.partner,Revision Partner
28,write_date,datetime,,Last Updated on
29,display_name,char,,Display Name
30,name,char,,Nomor Faktur
31,invoice_id,many2one,account.invoice,Invoice No
32,tahun_penerbit,char,,Tahun Penerbit
33,message_unread,boolean,,Unread Messages
34,message_needaction_counter,integer,,Number of Actions
,,,,
,,,,
model,sale.banner,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Title
4,__last_update,datetime,,Last Modified on
5,product_public_categ_id,many2one,product.public.category,Product Public Category
6,image,binary,,Image
7,write_uid,many2one,res.users,Last Updated by
8,product_template_ids,many2many,product.template,Product Template
9,write_date,datetime,,Last Updated on
10,create_date,datetime,,Created on
11,id,integer,,ID
,,,,
,,,,
model,change.invoice.faktur,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,__last_update,datetime,,Last Modified on
4,invoice_id,many2one,account.invoice,Invoices
5,company_id,many2one,res.company,Company
6,wizard_id,many2one,faktur.pajak.inv,Wizard
7,type_faktur,selection,,Type
8,faktur_id,many2one,nomor.faktur.pajak,Faktur Pajak
9,write_date,datetime,,Last Updated on
