model,ir.actions.act_url,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,xml_id,char,,External ID
3,display_name,char,,Display Name
4,target,selection,,Action Target
5,__last_update,datetime,,Last Modified on
6,url,text,,Action URL
7,help,html,,Action Description
8,write_uid,many2one,res.users,Last Updated by
9,write_date,datetime,,Last Updated on
10,usage,char,,Action Usage
11,create_date,datetime,,Created on
12,type,char,,Action Type
13,id,integer,,ID
14,name,char,,Action Name
,,,,
,,,,
,,,,
