model,res.country,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,code,char,,Country Code
3,display_name,char,,Display Name
4,name,char,,Country Name
5,__last_update,datetime,,Last Modified on
6,state_ids,one2many,res.country.state,States
7,image,binary,,Image
8,write_uid,many2one,res.users,Last Updated by
9,currency_id,many2one,res.currency,Currency
10,address_format,text,,Address format
11,phone_code,integer,,Country Calling Code
12,country_group_ids,many2many,res.country.group,Country Groups
13,write_date,datetime,,Last Updated on
14,create_date,datetime,,Created on
15,id,integer,,ID
,,,,
,,,,
,,,,
