model,product.packaging,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Packaging Type
4,__last_update,datetime,,Last Modified on
5,sequence,integer,,Sequence
6,qty,float,,Quantity per Package
7,product_tmpl_id,many2one,product.template,Product
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,write_uid,many2one,res.users,Last Updated by
11,id,integer,,ID
,,,,
12,shipper_package_code,char,,Package Code
13,height,integer,,Height
14,max_weight,float,,Max Weight
15,package_carrier_type,selection,,Carrier
16,width,integer,,Width
17,length,integer,,Length
,,,,
,,,,
