model,base.language.import,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,code,char,,ISO Code
3,display_name,char,,Display Name
4,name,char,,Language Name
5,__last_update,datetime,,Last Modified on
6,filename,char,,File Name
7,write_date,datetime,,Last Updated on
8,create_date,datetime,,Created on
9,write_uid,many2one,res.users,Last Updated by
10,data,binary,,File
11,id,integer,,ID
12,overwrite,boolean,,Overwrite Existing Terms
,,,,
,,,,
,,,,
