model,account.move.line,transient,False
no,field,type,relation,string
1,create_date,datetime,,Created on
2,statement_id,many2one,account.bank.statement,Statement
3,analytic_tag_ids,many2many,account.analytic.tag,Analytic tags
4,account_id,many2one,account.account,Account
5,company_id,many2one,res.company,Company
6,currency_id,many2one,res.currency,Currency
7,date_maturity,date,,Due date
8,narration,text,,Narration
9,user_type_id,many2one,account.account.type,Type
10,matched_debit_ids,one2many,account.partial.reconcile,Matched debit ids
11,partner_id,many2one,res.partner,Partner
12,id,integer,,ID
13,blocked,boolean,,No Follow-up
14,analytic_account_id,many2one,account.analytic.account,Analytic Account
15,create_uid,many2one,res.users,Created by
16,display_name,char,,Display Name
17,full_reconcile_id,many2one,account.full.reconcile,Matching Number
18,journal_id,many2one,account.journal,Journal
19,amount_residual_currency,monetary,,Residual Amount in Currency
20,debit,monetary,,Debit
21,ref,char,,Reference
22,quantity,float,,Quantity
23,tax_ids,many2many,account.tax,Taxes
24,matched_credit_ids,one2many,account.partial.reconcile,Matched credit ids
25,debit_cash_basis,monetary,,Debit cash basis
26,reconciled,boolean,,Reconciled
27,credit,monetary,,Credit
28,analytic_line_ids,one2many,account.analytic.line,Analytic lines
29,balance_cash_basis,monetary,,Balance cash basis
30,write_date,datetime,,Last Updated on
31,date,date,,Date
32,write_uid,many2one,res.users,Last Updated by
33,move_id,many2one,account.move,Journal Entry
34,name,char,,Label
35,payment_id,many2one,account.payment,Originator Payment
36,company_currency_id,many2one,res.currency,Company Currency
37,balance,monetary,,Balance
38,product_id,many2one,product.product,Product
39,invoice_id,many2one,account.invoice,Invoice id
40,__last_update,datetime,,Last Modified on
41,tax_line_id,many2one,account.tax,Originator tax
42,counterpart,char,,Counterpart
43,amount_residual,monetary,,Residual Amount
44,product_uom_id,many2one,product.uom,Unit of Measure
45,amount_currency,monetary,,Amount currency
46,credit_cash_basis,monetary,,Credit cash basis
47,tax_exigible,boolean,,Appears in VAT report
,,,,
,,,,
,,,,
