model,resource.calendar.leaves,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,calendar_id,many2one,resource.calendar,Working Time
3,display_name,char,,Display Name
4,name,char,,Name
5,resource_id,many2one,resource.resource,Resource
6,date_from,datetime,,Start Date
7,__last_update,datetime,,Last Modified on
8,company_id,many2one,res.company,Company
9,write_uid,many2one,res.users,Last Updated by
10,write_date,datetime,,Last Updated on
11,date_to,datetime,,End Date
12,create_date,datetime,,Created on
13,id,integer,,ID
,,,,
,,,,
,,,,
