model,portal.wizard.user,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,user_id,many2one,res.users,Login User
3,__last_update,datetime,,Last Modified on
4,wizard_id,many2one,portal.wizard,Wizard
5,write_uid,many2one,res.users,Last Updated by
6,email,char,,Email
7,write_date,datetime,,Last Updated on
8,create_date,datetime,,Created on
9,in_portal,boolean,,In Portal
10,partner_id,many2one,res.partner,Contact
11,id,integer,,ID
12,display_name,char,,Display Name
,,,,
,,,,
,,,,
