model,product.template,transient,False
76,supplier_taxes_id,many2many,account.tax,Vendor Taxes
77,volume,float,,Volume
78,website_meta_description,text,,Website meta description
79,property_stock_inventory,many2one,stock.location,Inventory Location
80,cost_method,char,,Cost method
81,valuation,char,,Valuation
82,purchase_line_warn,selection,,Purchase Order Line
83,alternative_product_ids,many2many,product.template,Alternative Products
84,product_variant_ids,one2many,product.product,Products
85,description_sale,text,,Sale Description
86,image_small,binary,,Small-sized image
87,description_purchase,text,,Purchase Description
88,sales_count,integer,,# Sales
89,website_meta_keywords,char,,Website meta keywords
90,rating_ids,one2many,rating.rating,Rating
91,sale_line_warn,selection,,Sales Order Line
92,nbr_reordering_rules,integer,,Reordering Rules
93,message_channel_ids,many2many,mail.channel,Followers (Channels)
94,message_partner_ids,many2many,res.partner,Followers (Partners)
95,uom_id,many2one,product.uom,Unit of Measure
96,default_code,char,,Internal Reference
97,location_id,many2one,stock.location,Location
98,message_ids,one2many,mail.message,Messages
99,availability_warning,text,,Availability Warning
100,id,integer,,ID
101,website_meta_title,char,,Website meta title
102,uom_po_id,many2one,product.uom,Purchase Unit of Measure
103,website_published,boolean,,Visible in Website
104,website_url,char,,Website URL
105,property_account_income_id,many2one,account.account,Income Account
106,description,text,,Description
107,price,float,,Price
108,expense_policy,selection,,Re-Invoice Expenses
109,write_date,datetime,,Last Updated on
110,categ_id,many2one,product.category,Internal Category
111,purchase_count,integer,,# Purchases
112,tracking,selection,,Tracking
113,produce_delay,float,,Manufacturing Lead Time
114,property_account_creditor_price_difference,many2one,account.account,Price Difference Account
115,website_sequence,integer,,Website Sequence
116,outgoing_qty,float,,Outgoing
117,invoice_policy,selection,,Invoicing Policy
118,taxes_id,many2many,account.tax,Customer Taxes
119,website_size_x,integer,,Size X
120,website_size_y,integer,,Size Y
121,product_variant_id,many2one,product.product,Product
,,,,
122,delivery_carrier_product,boolean,,Delivery Service
123,video_url,char,,Video URL
124,review_ids,one2many,product.review,Reviews
125,brand_ids,many2many,product.brand,Product Brand
126,tag_ids,many2many,product.tag,Product Tag
127,discount_ids,one2many,product.discount,Discounts
128,qty_check,boolean,,Check Qty on E-commerce
129,hs_code,char,,HS Code
130,sell_mobile,boolean,,Sell to Mobile App
131,rebrand_reference_product_id,many2one,product.template,Original Product
132,banner_ids,many2many,sale.banner,Banner
133,discount,float,,Default Discount to this Product
134,fp_export,boolean,,OB Is Exported
135,product_group_id,many2one,product.group,Group
136,description_mobile,text,,Description
137,materi_ids,many2many,res.materi,File Materi
138,rebrand_customer_id,many2one,res.partner,Rebrand Customer
139,task_id,many2one,project.task,Task
140,expert_ids,many2many,expert.condition,Expert System Conditions
141,fp_date,datetime,,OB Exported Date
142,discussion_ids,one2many,product.discussion,Discussions
,,,,
,,,,
