model,stock.move,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
85,forecast_expected_date,,,,datetime,,Forecasted Expected date,False,version 2
86,move_line_ids,,,,one2many,stock.move.line,Move Line,False,version 2
87,account_move_ids,,,,one2many,account.move,Account Move,False,version 2
88,product_type,,,,selection,,Product Type,False,version 2
89,show_operations,,,,boolean,,Show Detailed Operations,False,version 2
90,stock_valuation_layer_ids,,,,one2many,stock.valuation.layer,Stock Valuation Layer,False,version 2
91,date_deadline,,,,datetime,,Deadline,False,version 2
92,created_purchase_line_id,,,,many2one,purchase.order.line,Created Purchase Order Line,False,version 2
93,product_uom_category_id,,,,many2one,uom.category,Category,False,version 2
94,move_dest_ids,,,,many2many,stock.move,Destination Moves,False,version 2
95,should_consume_qty,,,,float,,Quantity To Consume,False,version 2
96,reference,,,,char,,Reference,False,version 2
97,next_serial,,,,char,,First SN,False,version 2
98,picking_code,,,,selection,,Type of Operation,False,version 2
99,to_refund,,,,boolean,,Update quantities on SO/PO,False,version 2
100,sale_line_id,,,,many2one,sale.order.line,Sale Line,False,version 2
101,description_picking,,,,text,,Description of Picking,False,version 2
102,picking_type_entire_packs,,,,boolean,,Move Entire Packages,False,version 2
103,forecast_availability,,,,float,,Forecast Availability,False,version 2
104,has_move_lines,,,,boolean,,Has Move Lines,False,version 2
105,package_level_id,,,,many2one,stock.package_level,Package Level,False,version 2
106,propagate_cancel,,,,boolean,,Propagate cancel and split,False,version 2
107,is_initial_demand_editable,,,,boolean,,Is initial demand editable,False,version 2
108,display_assign_serial,,,,boolean,,Display Assign Serial,False,version 2
109,show_reserved_availability,,,,boolean,,From Supplier,False,version 2
110,is_locked,,,,boolean,,Is Locked,False,version 2
111,next_serial_count,,,,integer,,Number of SN,False,version 2
112,delay_alert_date,,,,datetime,,Delay Alert Date,False,version 2
113,show_details_visible,,,,boolean,,Details Visible,False,version 2
114,created_production_id,,,,many2one,mrp.production,Created Production Order,False,version 2
115,order_finished_lot_ids,,,,many2many,stock.production.lot,Finished Lot/Serial Number,False,version 2
,,,,
,,,,
