model,res.partner.title,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,create_date,datetime,datetime,,Created on,Created on,False,both
3,name,char,char,,Title,Title,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,shortcut,char,char,,Abbreviation,Abbreviation,False,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,display_name,char,char,,Display Name,Display Name,False,both
9,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
