model,product.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
87,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
88,categ_id,many2one,product.category,Internal Category,many2one,product.category,Product Category,True,both
89,tracking,selection,,Tracking,selection,,Tracking,True,both
90,produce_delay,float,,Manufacturing Lead Time,float,,Manufacturing Lead Time,False,both
91,property_account_creditor_price_difference,many2one,account.account,Price Difference Account,many2one,account.account,Price Difference Account,False,both
92,website_description,html,,Description for the website,html,,Description for the website,False,both
93,invoice_policy,selection,,Invoicing Policy,selection,,Invoicing Policy,False,both
94,taxes_id,many2many,account.tax,Customer Taxes,many2many,account.tax,Customer Taxes,False,both
95,website_size_x,integer,,Size X,integer,,Size X,False,both
96,website_size_y,integer,,Size Y,integer,,Size Y,False,both
97,product_variant_id,many2one,product.product,Product,many2one,product.product,Product,False,both
,,,,
98,review_ids,one2many,product.review,Reviews,,,,False,version 1
99,description_mobile,text,,Description,,,,False,version 1
100,availability,selection,,Availability,,,,False,version 1
101,item_ids,one2many,product.pricelist.item,Pricelist Items,,,,False,version 1
102,discount_ids,one2many,product.discount,Discounts,,,,False,version 1
103,property_valuation,selection,,Inventory Valuation,,,,False,version 1
104,track_service,selection,,Track Service,,,,False,version 1
105,property_stock_account_input,many2one,account.account,Stock Input Account,,,,False,version 1
106,website_style_ids,many2many,product.style,Styles,,,,False,version 1
107,rental,boolean,,Can be Rent,,,,False,version 1
108,image_medium,binary,,Medium-sized image,,,,False,version 1
109,deferred_revenue_category_id,many2one,account.asset.category,Deferred Revenue Type,,,,False,version 1
110,product_image_ids,one2many,product.image,Images,,,,False,version 1
111,delivery_carrier_product,boolean,,Delivery Service,,,,False,version 1
112,website_public_price,float,,Website public price,,,,False,version 1
113,mo_count,integer,,# Manufacturing Orders,,,,False,version 1
114,rebrand_reference_product_id,many2one,product.template,Original Product,,,,False,version 1
115,discount,float,,Default Discount to this Product,,,,True,version 1
116,fp_export,boolean,,OB Is Exported,,,,False,version 1
117,product_group_id,many2one,product.group,Group,,,,False,version 1
118,website_price_difference,boolean,,Website price difference,,,,False,version 1
119,rebrand_customer_id,many2one,res.partner,Rebrand Customer,,,,False,version 1
120,task_id,many2one,project.task,Task,,,,False,version 1
121,property_stock_account_output,many2one,account.account,Stock Output Account,,,,False,version 1
122,expert_ids,many2many,expert.condition,Expert System Conditions,,,,False,version 1
123,warranty,float,,Warranty,,,,False,version 1
124,property_stock_procurement,many2one,stock.location,Procurement Location,,,,False,version 1
125,image,binary,,Image,,,,False,version 1
126,message_last_post,datetime,,Last Message Date,,,,False,version 1
127,asset_category_id,many2one,account.asset.category,Asset Type,,,,False,version 1
128,tag_ids,many2many,product.tag,Product Tag,,,,False,version 1
129,website_price,float,,Website price,,,,False,version 1
130,hs_code,char,,HS Code,,,,False,version 1
131,property_cost_method,selection,,Costing Method,,,,False,version 1
132,sell_mobile,boolean,,Sell to Mobile App,,,,False,version 1
133,image_small,binary,,Small-sized image,,,,False,version 1
134,video_url,char,,Video URL,,,,False,version 1
135,brand_ids,many2many,product.brand,Product Brand,,,,False,version 1
136,availability_warning,text,,Availability Warning,,,,False,version 1
137,fp_date,datetime,,OB Exported Date,,,,False,version 1
