model;account.journal;transient;FALSE;;;;;;
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;code;char;;Short Code;char;;Short Code;TRUE;both
2;create_date;datetime;;Created on;datetime;;Created on;FALSE;both
3;sequence;integer;;Sequence;integer;;Sequence;FALSE;both
4;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;FALSE;both
5;currency_id;many2one;res.currency;Currency;many2one;res.currency;Currency;FALSE;both
6;at_least_one_inbound;boolean;;At least one inbound;boolean;;At Least One Inbound;FALSE;both
7;account_control_ids;many2many;account.account;Accounts Allowed;many2many;account.account;Allowed accounts;FALSE;both
8;bank_statements_source;selection;;Bank Feeds;selection;;Bank Feeds;FALSE;both
9;id;integer;;ID;integer;;ID;FALSE;both
10;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;FALSE;both
11;display_name;char;;Display Name;char;;Display Name;FALSE;both
12;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;FALSE;both
13;company_id;many2one;res.company;Company;many2one;res.company;Company;TRUE;both
14;bank_account_id;many2one;res.partner.bank;Bank Account;many2one;res.partner.bank;Bank Account;FALSE;both
15;outbound_payment_method_ids;many2many;account.payment.method;Payment Methods;many2many;account.payment.method;Outbound Payment Methods;FALSE;both
16;kanban_dashboard_graph;text;;Kanban dashboard graph;text;;Kanban Dashboard Graph;FALSE;both
17;bank_acc_number;char;;Account Number;char;;Account Number;FALSE;both
18;kanban_dashboard;text;;Kanban dashboard;text;;Kanban Dashboard;FALSE;both
19;show_on_dashboard;boolean;;Show journal on dashboard;boolean;;Show journal on dashboard;FALSE;both
20;profit_account_id;many2one;account.account;Profit Account;many2one;account.account;Profit Account;FALSE;both
21;inbound_payment_method_ids;many2many;account.payment.method;Debit Methods;many2many;account.payment.method;Inbound Payment Methods;FALSE;both
22;type_control_ids;many2many;account.account.type;Account Types Allowed;many2many;account.account.type;Allowed account types;FALSE;both
23;write_date;datetime;;Last Updated on;datetime;;Last Updated on;FALSE;both
24;loss_account_id;many2one;account.account;Loss Account;many2one;account.account;Loss Account;FALSE;both
25;name;char;;Journal Name;char;;Journal Name;TRUE;both
26;type;selection;;Type;selection;;Type;TRUE;both
27;bank_id;many2one;res.bank;Bank;many2one;res.bank;Bank;FALSE;both
28;at_least_one_outbound;boolean;;At least one outbound;boolean;;At Least One Outbound;FALSE;both
29;refund_sequence;boolean;;Dedicated Refund Sequence;boolean;;Dedicated Credit Note Sequence;FALSE;both
;;;;;;;;;
30;default_debit_account_id;many2one;account.account;Default Debit Account;;;;FALSE;version 1
31;default_credit_account_id;many2one;account.account;Default Credit Account;;;;FALSE;version 1
32;sequence_id;many2one;ir.sequence;Entry Sequence;;;;TRUE;version 1
33;refund_sequence_id;many2one;ir.sequence;Refund Entry Sequence;;;;FALSE;version 1
34;update_posted;boolean;;Allow Cancelling Entries;;;;FALSE;version 1
35;group_invoice_lines;boolean;;Group Invoice Lines;;;;FALSE;version 1
36;belongs_to_company;boolean;;Belong to the user's current company;;;;FALSE;version 1
37;display_on_footer;boolean;;Show in Invoices Footer;;;;FALSE;version 1
;;;;;;;;;
38;sale_activity_note;;;;text;;Activity Summary;FALSE;version 2
39;compatible_edi_ids;;;;many2many;account.edi.format;Compatible Edi;FALSE;version 2
40;color;;;;integer;;Color Index;FALSE;version 2
41;alias_id;;;;many2one;mail.alias;Email Alias;FALSE;version 2
42;message_main_attachment_id;;;;many2one;ir.attachment;Main Attachment;FALSE;version 2
43;country_code;;;;char;;Country Code;FALSE;version 2
44;secure_sequence_id;;;;many2one;ir.sequence;Secure Sequence;FALSE;version 2
45;message_has_error;;;;boolean;;Message Delivery error;FALSE;version 2
46;activity_date_deadline;;;;date;;Next Activity Deadline;FALSE;version 2
47;message_is_follower;;;;boolean;;Is Follower;FALSE;version 2
48;message_has_sms_error;;;;boolean;;SMS Delivery error;FALSE;version 2
49;journal_group_ids;;;;many2many;account.journal.group;Journal Groups;FALSE;version 2
50;activity_user_id;;;;many2one;res.users;Responsible User;FALSE;version 2
51;account_online_link_id;;;;many2one;account.online.link;Account Online Link;FALSE;version 2
52;alias_domain;;;;char;;Alias domain;FALSE;version 2
53;next_synchronization;;;;datetime;;Next synchronization;FALSE;version 2
54;json_activity_data;;;;text;;Json Activity Data;FALSE;version 2
55;account_online_provider_id;;;;many2one;account.online.provider;Account Online Provider;FALSE;version 2
56;restrict_mode_hash_table;;;;boolean;;Lock Posted Entries with Hash;FALSE;version 2
57;message_attachment_count;;;;integer;;Attachment Count;FALSE;version 2
58;account_online_link_state;;;;selection;;State;FALSE;version 2
59;activity_type_id;;;;many2one;mail.activity.type;Next Activity Type;FALSE;version 2
60;activity_ids;;;;one2many;mail.activity;Activities;FALSE;version 2
61;edi_format_ids;;;;many2many;account.edi.format;Electronic invoicing;FALSE;version 2
62;activity_exception_icon;;;;char;;Icon;FALSE;version 2
63;payment_credit_account_id;;;;many2one;account.account;Outstanding Payments Account;FALSE;version 2
64;activity_state;;;;selection;;Activity State;FALSE;version 2
65;website_message_ids;;;;one2many;mail.message;Website Messages;FALSE;version 2
66;sale_activity_user_id;;;;many2one;res.users;Activity User;FALSE;version 2
67;message_follower_ids;;;;one2many;mail.followers;Followers;FALSE;version 2
68;message_needaction;;;;boolean;;Action Needed;FALSE;version 2
69;message_channel_ids;;;;many2many;mail.channel;Followers (Channels);FALSE;version 2
70;message_partner_ids;;;;many2many;res.partner;Followers (Partners);FALSE;version 2
71;suspense_account_id;;;;many2one;account.account;Suspense Account;FALSE;version 2
72;bank_statement_creation;;;;selection;;Creation of Bank Statements;FALSE;version 2
73;alias_name;;;;char;;Alias Name;FALSE;version 2
74;account_online_account_id;;;;many2one;account.online.account;Account Online Account;FALSE;version 2
75;activity_exception_decoration;;;;selection;;Activity Exception Decoration;FALSE;version 2
76;activity_type_icon;;;;char;;Activity Type Icon;FALSE;version 2
