model,res.company,transient,False
no,field,type1,type2,relation,string1,string2,required,source
90,account_setup_fy_data_state,,selection,,,State of the onboarding fiscal year step,False,version 2
91,invoice_is_snailmail,,boolean,,,Send by Post,False,version 2
92,hr_presence_control_email_amount,,integer,,,# emails to send,False,version 2
93,tax_exigibility,,boolean,,,Use Cash Basis,False,version 2
94,social_instagram,,char,,,Instagram Account,False,version 2
95,account_setup_coa_state,,selection,,,State of the onboarding charts of account step,False,version 2
96,social_linkedin,,char,,,LinkedIn Account,False,version 2
97,stock_sms_confirmation_template_id,,many2one,sms.template,,SMS Template,False,version 2
98,account_onboarding_sale_tax_state,,selection,,,State of the onboarding sale tax step,False,version 2
99,account_sale_tax_id,,many2one,account.tax,,Default Sale Tax,False,version 2
100,account_tax_periodicity_journal_id,,many2one,account.journal,,Journal,False,version 2
101,secondary_color,,char,,,Secondary Color,False,version 2
102,account_tax_periodicity_reminder_day,,integer,,,Start from,False,version 2
103,sale_onboarding_order_confirmation_state,,selection,,,State of the onboarding confirmation order step,False,version 2
104,totals_below_sections,,boolean,,,Add totals below sections,False,version 2
105,currency_interval_unit,,selection,,,Interval Unit,False,version 2
106,sale_onboarding_sample_quotation_state,,selection,,,State of the onboarding sample quotation step,False,version 2
107,default_cash_difference_expense_account_id,,many2one,account.account,,Cash Difference Expense Account,False,version 2
108,catchall_formatted,,char,,,Catchall,False,version 2
109,transfer_account_code_prefix,,char,,,Prefix of the transfer accounts,False,version 2
110,account_cash_basis_base_account_id,,many2one,account.account,,Base Tax Received Account,False,version 2
111,resource_calendar_id,,many2one,resource.calendar,,Default Working Hours,False,version 2
112,tax_lock_date,,date,,,Tax Lock Date,False,version 2
113,website_sale_dashboard_onboarding_state,,selection,,,State of the website sale onboarding panel,False,version 2
114,portal_confirmation_pay,,boolean,,,Online Payment,False,version 2
115,account_setup_bill_state,,selection,,,State of the onboarding bill step,False,version 2
116,invoice_terms,,text,,,Default Terms and Conditions,False,version 2
117,gain_account_id,,many2one,account.account,,Gain Account,False,version 2
118,payment_acquirer_onboarding_state,,selection,,,State of the onboarding payment acquirer step,False,version 2
119,base_onboarding_company_state,,selection,,,State of the onboarding company step,False,version 2
120,loss_account_id,,many2one,account.account,,Loss Account,False,version 2
121,social_facebook,,char,,,Facebook Account,False,version 2
122,partner_gid,,integer,,,Company database ID,False,version 2
123,account_revaluation_income_provision_account_id,,many2one,account.account,,Income Provision Account,False,version 2
124,account_onboarding_create_invoice_state,,selection,,,State of the onboarding create invoice step,False,version 2
125,email_formatted,,char,,,Formatted Email,False,version 2
126,report_footer,,text,,,Report Footer,False,version 2
127,has_received_warning_stock_sms,,boolean,,,Has Received Warning Stock Sms,False,version 2
128,nomenclature_id,,many2one,barcode.nomenclature,,Nomenclature,False,version 2
129,incoterm_id,,many2one,account.incoterms,,Default incoterm,False,version 2
130,website_sale_onboarding_payment_acquirer_state,,selection,,,State of the website sale onboarding payment acquirer step,False,version 2
131,resource_calendar_ids,,one2many,resource.calendar,,Working Hours,False,version 2
132,account_onboarding_invoice_layout_state,,selection,,,State of the onboarding invoice layout step,False,version 2
133,yodlee_user_login,,char,,,Yodlee login,False,version 2
134,account_revaluation_journal_id,,many2one,account.journal,,Account Revaluation Journal,False,version 2
135,vat_check_vies,,boolean,,,Verify VAT Numbers,False,version 2
136,snailmail_color,,boolean,,,Color,False,version 2
137,stock_mail_confirmation_template_id,,many2one,mail.template,,Email Template confirmation picking,False,version 2
138,account_purchase_tax_id,,many2one,account.tax,,Default Purchase Tax,False,version 2
139,snailmail_duplex,,boolean,,,Both sides,False,version 2
140,stock_move_sms_validation,,boolean,,,SMS Confirmation,False,version 2
141,sale_onboarding_payment_method,,selection,,,Sale onboarding selected payment method,False,version 2
142,account_journal_suspense_account_id,,many2one,account.account,,Journal Suspense Account,False,version 2
143,account_default_pos_receivable_account_id,,many2one,account.account,,Default PoS Receivable Account,False,version 2
144,website_theme_onboarding_done,,boolean,,,Onboarding website theme step done,False,version 2
145,account_opening_date,,date,,,Opening Entry,True,version 2
146,yodlee_user_access_token,,char,,,Yodlee access token,False,version 2
147,account_tax_fiscal_country_id,,many2one,res.country,,Fiscal Country,False,version 2
148,favicon,,binary,,,Company Favicon,False,version 2
