model,res.users,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,in_group_17,boolean,,Manage Properties of Product,boolean,,Manage Product Packaging,False,both
1,in_group_11,boolean,,Public,boolean,,Access to Private Addresses,False,both
1,in_group_12,boolean,,Sales Pricelists,boolean,,Manage Multiple Units of Measure,False,both
1,in_group_13,boolean,,Manage Pricelist Items,boolean,,Analytic Accounting,False,both
1,total_invoiced,monetary,,Total Invoiced,monetary,,Total Invoiced,False,both
1,trust,selection,,Degree of trust you have in this debtor,selection,,Degree of trust you have in this debtor,False,both
1,in_group_18,boolean,,Manage Product Variants,boolean,,Manage Product Variants,False,both
1,in_group_19,boolean,,Manage multiple stock_locations,boolean,,Discount on lines,False,both
1,property_payment_term_id,many2one,account.payment.term,Customer Payment Terms,many2one,account.payment.term,Customer Payment Terms,False,both
1,city,char,,City,char,,City,False,both
1,user_id,many2one,res.users,Salesperson,many2one,res.users,Salesperson,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,ref_company_ids,one2many,res.company,Companies that refers to partner,one2many,res.company,Companies that refers to partner,False,both
1,email_formatted,char,,Formatted Email,char,,Formatted Email,False,both
1,im_status,char,,IM Status,char,,IM Status,False,both
1,last_website_so_id,many2one,sale.order,Last Online Sale Order,many2one,sale.order,Last Online Sales Order,False,both
1,last_time_entries_checked,datetime,,Latest Invoices & Payments Matching Date,datetime,,Latest Invoices & Payments Matching Date,False,both
1,type,selection,,Address Type,selection,,Address Type,False,both
1,vat,char,,TIN,char,,Tax ID,False,both
1,function,char,,Job Position,char,,Job Position,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,picking_warn_msg,text,,Message for Stock Picking,text,,Message for Stock Picking,False,both
1,payment_token_count,integer,,Count Payment Token,integer,,Count Payment Token,False,both
1,share,boolean,,Share User,boolean,,Share User,False,both
1,in_group_23,boolean,,Manage Lots / Serial Numbers,boolean,,Tax display B2B,False,both
1,in_group_24,boolean,,Manage Packages,boolean,,Tax display B2C,False,both
1,phone,char,,Phone,char,,Phone,False,both
1,website_meta_description,text,,Website meta description,text,,Website meta description,False,both
1,task_count,integer,,# Tasks,integer,,# Tasks,False,both
1,payment_token_ids,one2many,payment.token,Payment Tokens,one2many,payment.token,Payment Tokens,False,both
1,property_purchase_currency_id,many2one,res.currency,Supplier Currency,many2one,res.currency,Supplier Currency,False,both
1,sale_order_ids,one2many,sale.order,Sales Order,one2many,sale.order,Sales Order,False,both
1,login_date,datetime,,Latest connection,datetime,,Latest authentication,False,both
1,website_meta_keywords,char,,Website meta keywords,char,,Website meta keywords,False,both
1,companies_count,integer,,Number of Companies,integer,,Number of Companies,False,both
1,invoice_warn_msg,text,,Message for Invoice,text,,Message for Invoice,False,both
1,website,char,,Website,char,,Website Link,False,both
1,in_group_36,boolean,,Manage Work Order Operations,boolean,,Send an automatic reminder email to confirm delivery,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,company_type,selection,,Company Type,selection,,Company Type,False,both
1,signup_type,char,,Signup Token Type,char,,Signup Token Type,False,both
1,property_account_receivable_id,many2one,account.account,Account Receivable,many2one,account.account,Account Receivable,True,both
1,id,integer,,ID,integer,,ID,False,both
1,date,date,,Date,date,,Date,False,both
1,new_password,char,,Set Password,char,,Set Password,False,both
1,invoice_warn,selection,,Invoice,selection,,Invoice,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,property_account_position_id,many2one,account.fiscal.position,Fiscal Position,many2one,account.fiscal.position,Fiscal Position,False,both
1,website_meta_title,char,,Website meta title,char,,Website meta title,False,both
1,company_name,char,,Company Name,char,,Company Name,False,both
1,property_stock_supplier,many2one,stock.location,Vendor Location,many2one,stock.location,Vendor Location,False,both
1,website_published,boolean,,Visible in Website,boolean,,Visible on current website,False,both
1,website_url,char,,Website URL,char,,Website URL,False,both
1,bank_ids,one2many,res.partner.bank,Banks,one2many,res.partner.bank,Banks,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,property_stock_customer,many2one,stock.location,Customer Location,many2one,stock.location,Customer Location,False,both
1,website_short_description,text,,Website Partner Short Description,text,,Website Partner Short Description,False,both
1,in_group_40,boolean,,Attendances,boolean,,Pro-forma Invoices,False,both
1,in_group_47,boolean,,A warning can be set on a product or a customer (Purchase),boolean,,Display Serial & Lot Number in Delivery Slips,False,both
1,in_group_46,boolean,,Manage Vendor Price,boolean,,Manage Lots / Serial Numbers,False,both
1,category_id,many2many,res.partner.category,Tags,many2many,res.partner.category,Tags,False,both
1,lang,selection,,Language,selection,,Language,False,both
1,credit_limit,float,,Credit Limit,float,,Credit Limit,False,both
1,contract_ids,one2many,account.analytic.account,Contracts,one2many,account.analytic.account,Partner Contracts,False,both
1,purchase_warn_msg,text,,Message for Purchase Order,text,,Message for Purchase Order,False,both
1,mobile,char,,Mobile,char,,Mobile,False,both
1,partner_share,boolean,,Share Partner,boolean,,Share Partner,False,both
1,in_group_37,boolean,,Manage Inventory Valuation and Costing Methods,boolean,,Lock Confirmed Sales,False,both
1,website_description,html,,Website Partner Full Description,html,,Website Partner Full Description,False,both
1,sale_warn_msg,text,,Message for Sales Order,text,,Message for Sales Order,False,both
1,self,many2one,res.partner,Self,many2one,res.partner,Self,False,both
,,,,
1,image,binary,,Image,,,,False,version 1
2,alias_id,many2one,mail.alias,Alias,,,,False,version 1
3,in_group_10,boolean,,Portal,,,,False,version 1
4,in_group_54,boolean,,Personalize sale order and invoice report,,,,False,version 1
5,sel_groups_29_30_31,selection,,Accounting & Finance,,,,False,version 1
6,password_crypt,char,,Encrypted Password,,,,False,version 1
7,issued_total,monetary,,Journal Items,,,,False,version 1
8,opt_out,boolean,,Opt-Out,,,,False,version 1
9,message_last_post,datetime,,Last Message Date,,,,False,version 1
10,contracts_count,integer,,Contracts,,,,False,version 1
11,sel_groups_51_52_53,selection,,Sales,,,,False,version 1
12,in_group_28,boolean,,Analytic Accounting,,,,False,version 1
13,fax,char,,Fax,,,,False,version 1
14,in_group_20,boolean,,Manage multiple warehouses,,,,False,version 1
15,in_group_25,boolean,,Manage Push and Pull inventory flows,,,,False,version 1
16,in_group_27,boolean,,A warning can be set on a partner (Stock),,,,False,version 1
17,in_group_26,boolean,,Manage Different Stock Owners,,,,False,version 1
18,sel_groups_64_65,selection,,Website,,,,False,version 1
19,sel_groups_48_49,selection,,Project,,,,False,version 1
20,in_group_66,boolean,,Show multi image on eCommerce,,,,False,version 1
21,in_group_61,boolean,,A warning can be set on a product or a customer (Sale),,,,False,version 1
22,in_group_60,boolean,,Display incoterms on Sales Order and related invoices,,,,False,version 1
23,customer,boolean,,Is a Customer,,,,False,version 1
24,image_small,binary,,Small-sized image,,,,False,version 1
25,sel_groups_1_38_39,selection,,Employees,,,,False,version 1
26,notify_email,selection,,Email Messages and Notifications,,,,True,version 1
27,in_group_33,boolean,,A warning can be set on a partner (Account),,,,False,version 1
28,sel_groups_43_44,selection,,Purchases,,,,False,version 1
29,in_group_9,boolean,,Access to Private Addresses,,,,False,version 1
30,supplier,boolean,,Is a Vendor,,,,False,version 1
31,alias_contact,selection,,Alias Contact Security,,,,False,version 1
32,sel_groups_41_42,selection,,Expenses,,,,False,version 1
33,sel_groups_21_22,selection,,Inventory,,,,False,version 1
34,in_group_45,boolean,,Analytic Accounting for Purchases,,,,False,version 1
35,sel_groups_3_4,selection,,Administration,,,,False,version 1
36,sel_groups_34_35,selection,,Manufacturing,,,,False,version 1
,,,,
37,country_code,,,,char,,Country Code,False,version 2
38,children,,,,integer,,Number of Children,False,version 2
39,activity_date_deadline,,,,date,,Next Activity Deadline,False,version 2
40,private_email,,,,char,,Private Email,False,version 2
41,receipt_reminder_email,,,,boolean,,Receipt Reminder,False,version 2
42,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
43,sel_groups_26_25_27_28,,,,selection,,Accounting,False,version 2
44,department_id,,,,many2one,hr.department,Department,False,version 2
45,sel_groups_33_34,,,,selection,,Purchase,False,version 2
46,in_group_68,,,,boolean,,Multi-website,False,version 2
47,in_group_64,,,,boolean,,Use Recurring Tasks,False,version 2
48,sel_groups_67,,,,selection,,Contracts,False,version 2
49,work_location,,,,char,,Work Location,False,version 2
50,image_128,,,,binary,,Image 128,False,version 2
51,gender,,,,selection,,Gender,False,version 2
52,visitor_ids,,,,one2many,website.visitor,Visitors,False,version 2
53,online_partner_vendor_name,,,,char,,Online Partner Vendor Name,False,version 2
54,totp_enabled,,,,boolean,,Two-factor authentication,False,version 2
55,image_1920,,,,binary,,Image,False,version 2
56,job_title,,,,char,,Job Title,False,version 2
57,website_id,,,,many2one,website,Website,False,version 2
58,emergency_contact,,,,char,,Emergency Contact,False,version 2
59,purchase_line_ids,,,,one2many,purchase.order.line,Purchase Lines,False,version 2
60,km_home_work,,,,integer,,Home-Work Distance,False,version 2
61,activity_type_icon,,,,char,,Activity Type Icon,False,version 2
62,employee_count,,,,integer,,Employee Count,False,version 2
63,sel_groups_69_70,,,,selection,,Website,False,version 2
64,active_lang_count,,,,integer,,Active Lang Count,False,version 2
65,message_has_error_counter,,,,integer,,Number of errors,False,version 2
66,employee_phone,,,,char,,Private Phone,False,version 2
67,sel_groups_65_66,,,,selection,,Employees,False,version 2
68,employee_parent_id,,,,many2one,hr.employee,Manager,False,version 2
69,image_256,,,,binary,,Image 256,False,version 2
70,address_id,,,,many2one,res.partner,Work Address,False,version 2
71,moderation_counter,,,,integer,,Moderation count,False,version 2
72,image_1024,,,,binary,,Image 1024,False,version 2
73,same_vat_partner_id,,,,many2one,res.partner,Partner with same Tax ID,False,version 2
74,last_activity,,,,date,,Last Activity,False,version 2
75,employee_bank_account_id,,,,many2one,res.partner.bank,Employee's Bank Account Number,False,version 2
76,online_partner_bank_account,,,,char,,Online Partner Bank Account,False,version 2
77,contact_address_complete,,,,char,,Contact Address Complete,False,version 2
78,pin,,,,char,,PIN,False,version 2
79,certificate,,,,selection,,Certificate Level,False,version 2
80,customer_rank,,,,integer,,Customer Rank,False,version 2
81,accesses_count,,,,integer,,# Access Rights,False,version 2
82,vehicle,,,,char,,Company Vehicle,False,version 2
83,last_activity_time,,,,char,,Last Activity Time,False,version 2
84,can_publish,,,,boolean,,Can Publish,False,version 2
85,resource_ids,,,,one2many,resource.resource,Resources,False,version 2
86,payment_responsible_id,,,,many2one,res.users,Follow-up Responsible,False,version 2
87,sel_groups_25_26_27_28,,,,selection,,Accounting,False,version 2
88,l10n_id_tax_address,,,,char,,Tax Address,False,version 2
89,is_published,,,,boolean,,Is Published,False,version 2
90,odoobot_failed,,,,boolean,,Odoobot Failed,False,version 2
91,notification_type,,,,selection,,Notification,True,version 2
92,visa_expire,,,,date,,Visa Expire Date,False,version 2
93,employee_id,,,,many2one,hr.employee,Company employee,False,version 2
94,spouse_complete_name,,,,char,,Spouse Complete Name,False,version 2
95,followup_level,,,,many2one,account_followup.followup.line,Follow-up Level,False,version 2
96,unpaid_invoices,,,,one2many,account.move,Unpaid Invoices,False,version 2
97,category_ids,,,,many2many,hr.employee.category,Employee Tags,False,version 2
98,is_seo_optimized,,,,boolean,,SEO optimized,False,version 2
99,message_attachment_count,,,,integer,,Attachment Count,False,version 2
100,email_normalized,,,,char,,Normalized Email,False,version 2
101,sel_groups_44_45,,,,selection,,Inventory,False,version 2
102,birthday,,,,date,,Date of Birth,False,version 2
103,partner_longitude,,,,float,,Geo Longitude,False,version 2
104,work_email,,,,char,,Work Email,False,version 2
105,api_key_ids,,,,one2many,res.users.apikeys,API Keys,False,version 2
106,spouse_birthdate,,,,date,,Spouse Birthdate,False,version 2
107,place_of_birth,,,,char,,Place of Birth,False,version 2
108,total_overdue,,,,monetary,,Total Overdue,False,version 2
109,reminder_date_before_receipt,,,,integer,,Days Before Receipt,False,version 2
110,unreconciled_aml_ids,,,,one2many,account.move.line,Unreconciled Aml,False,version 2
111,in_group_51,,,,boolean,,A warning can be set on a partner (Stock),False,version 2
112,in_group_52,,,,boolean,,Require a signature on your delivery orders,False,version 2
113,additional_info,,,,char,,Additional info,False,version 2
114,odoobot_state,,,,selection,,OdooBot Status,False,version 2
115,employee_country_id,,,,many2one,res.country,Employee's Country,False,version 2
116,active_partner,,,,boolean,,Partner is Active,False,version 2
117,study_field,,,,char,,Field of Study,False,version 2
118,rules_count,,,,integer,,# Record Rules,False,version 2
119,activity_type_id,,,,many2one,mail.activity.type,Next Activity Type,False,version 2
120,sel_groups_2_3,,,,selection,,Administration,False,version 2
121,phone_sanitized_blacklisted,,,,boolean,,Phone Blacklisted,False,version 2
122,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
123,supplier_rank,,,,integer,,Supplier Rank,False,version 2
124,address_home_id,,,,many2one,res.partner,Address,False,version 2
125,permit_no,,,,char,,Work Permit No,False,version 2
126,l10n_id_nik,,,,char,,NIK,False,version 2
127,phone_blacklisted,,,,boolean,,Blacklisted Phone is Phone,False,version 2
128,study_school,,,,char,,School,False,version 2
129,visa_no,,,,char,,Visa No,False,version 2
130,marital,,,,selection,,Marital Status,False,version 2
131,website_meta_og_img,,,,char,,Website opengraph image,False,version 2
132,in_group_71,,,,boolean,,Allow to define fiscal years of more or less than a year,False,version 2
133,partner_latitude,,,,float,,Geo Latitude,False,version 2
134,payment_next_action_date,,,,date,,Next Action Date,False,version 2
135,identification_id,,,,char,,Identification No,False,version 2
136,is_blacklisted,,,,boolean,,Blacklist,False,version 2
137,activity_exception_decoration,,,,selection,,Activity Exception Decoration,False,version 2
138,work_phone,,,,char,,Work Phone,False,version 2
139,partner_gid,,,,integer,,Company database ID,False,version 2
140,in_group_4,,,,boolean,,Multi Companies,False,version 2
141,mobile_blacklisted,,,,boolean,,Blacklisted Phone Is Mobile,False,version 2
142,seo_name,,,,char,,Seo name,False,version 2
143,resource_calendar_id,,,,many2one,resource.calendar,Default Working Hours,False,version 2
144,website_message_ids,,,,one2many,mail.message,Website Messages,False,version 2
145,is_address_home_a_company,,,,boolean,,The employee address has a company linked,False,version 2
146,moderation_channel_ids,,,,many2many,mail.channel,Moderated channels,False,version 2
147,online_partner_information,,,,char,,Online Partner Information,False,version 2
148,additional_note,,,,text,,Additional Note,False,version 2
149,followup_status,,,,selection,,Follow-up Status,False,version 2
150,ocn_token,,,,char,,OCN Token,False,version 2
151,activity_user_id,,,,many2one,res.users,Responsible User,False,version 2
152,hr_presence_state,,,,selection,,Hr Presence State,False,version 2
153,mobile_phone,,,,char,,Work Mobile,False,version 2
154,industry_id,,,,many2one,res.partner.industry,Industry,False,version 2
155,is_moderator,,,,boolean,,Is moderator,False,version 2
156,property_warehouse_id,,,,many2one,stock.warehouse,Default Warehouse,False,version 2
157,sel_groups_72_73_74,,,,selection,,Expenses,False,version 2
158,sel_groups_60_61,,,,selection,,Project,False,version 2
159,activity_ids,,,,one2many,mail.activity,Activities,False,version 2
160,expense_manager_id,,,,many2one,res.users,Expense,False,version 2
161,activity_exception_icon,,,,char,,Icon,False,version 2
162,on_time_rate,,,,float,,On-Time Delivery Rate,False,version 2
163,total_due,,,,monetary,,Total Due,False,version 2
164,activity_state,,,,selection,,Activity State,False,version 2
165,in_group_29,,,,boolean,,A warning can be set on a partner (Account),False,version 2
166,coach_id,,,,many2one,hr.employee,Coach,False,version 2
167,in_group_39,,,,boolean,,A warning can be set on a product or a customer (Sale),False,version 2
168,in_group_35,,,,boolean,,A warning can be set on a product or a customer (Purchase),False,version 2
169,in_group_30,,,,boolean,,Allow the cash rounding management,False,version 2
170,in_group_31,,,,boolean,,Sale Receipt,False,version 2
171,message_has_error,,,,boolean,,Message Delivery error,False,version 2
172,in_group_38,,,,boolean,,Addresses in Sales Orders,False,version 2
173,groups_count,,,,integer,,# Groups,False,version 2
174,bank_account_id,,,,many2one,res.partner.bank,Bank Account Number,False,version 2
175,l10n_id_tax_name,,,,char,,Tax Name,False,version 2
176,passport_id,,,,char,,Passport No,False,version 2
177,phone_sanitized,,,,char,,Sanitized Number,False,version 2
178,emergency_phone,,,,char,,Emergency Phone,False,version 2
179,in_group_49,,,,boolean,,Manage Push and Pull inventory flows,False,version 2
180,in_group_48,,,,boolean,,Manage Packages,False,version 2
181,sel_groups_20_21_22,,,,selection,,Sales,False,version 2
182,in_group_43,,,,boolean,,Manage Multiple Warehouses,False,version 2
183,in_group_42,,,,boolean,,Manage Multiple Stock Locations,False,version 2
184,in_group_41,,,,boolean,,Quotation Templates,False,version 2
185,can_edit,,,,boolean,,Can Edit,False,version 2
186,l10n_id_kode_transaksi,,,,selection,,Kode Transaksi,False,version 2
187,activity_summary,,,,char,,Next Activity Summary,False,version 2
188,l10n_id_pkp,,,,boolean,,ID PKP,False,version 2
189,sel_groups_1_9_10,,,,selection,,User types,False,version 2
190,image_512,,,,binary,,Image 512,False,version 2
191,country_of_birth,,,,many2one,res.country,Country of Birth,False,version 2
192,sel_groups_53_54,,,,selection,,Manufacturing,False,version 2
,,,,
,,,,
