source_model;stock.warehouse;target_model;stock.warehouse;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;code;char;;code;char;;
2;create_date;datetime;;create_date;datetime;;
3;lot_stock_id;many2one;stock.location;lot_stock_id;many2one;stock.location;
4;manu_type_id;many2one;stock.picking.type;manu_type_id;many2one;stock.picking.type;
5;wh_pack_stock_loc_id;many2one;stock.location;wh_pack_stock_loc_id;many2one;stock.location;
6;company_id;many2one;res.company;company_id;many2one;res.company;
7;pick_type_id;many2one;stock.picking.type;pick_type_id;many2one;stock.picking.type;
8;crossdock_route_id;many2one;stock.location.route;crossdock_route_id;many2one;stock.location.route;
9;manufacture_pull_id;many2one;procurement.rule;manufacture_pull_id;many2one;stock.rule;
10;partner_id;many2one;res.partner;partner_id;many2one;res.partner;
11;id;integer;;id;integer;;
12;create_uid;many2one;res.users;create_uid;many2one;res.users;
13;mto_pull_id;many2one;procurement.rule;mto_pull_id;many2one;stock.rule;
14;display_name;char;;display_name;char;;
15;wh_input_stock_loc_id;many2one;stock.location;wh_input_stock_loc_id;many2one;stock.location;
16;reception_route_id;many2one;stock.location.route;reception_route_id;many2one;stock.location.route;
17;manufacture_to_resupply;boolean;;manufacture_to_resupply;boolean;;
18;delivery_steps;selection;;delivery_steps;selection;;
19;view_location_id;many2one;stock.location;view_location_id;many2one;stock.location;
20;resupply_route_ids;one2many;stock.location.route;resupply_route_ids;one2many;stock.location.route;
21;wh_qc_stock_loc_id;many2one;stock.location;wh_qc_stock_loc_id;many2one;stock.location;
22;reception_steps;selection;;reception_steps;selection;;
24;pack_type_id;many2one;stock.picking.type;pack_type_id;many2one;stock.picking.type;
25;resupply_wh_ids;many2many;stock.warehouse;resupply_wh_ids;many2many;stock.warehouse;
26;wh_output_stock_loc_id;many2one;stock.location;wh_output_stock_loc_id;many2one;stock.location;
27;route_ids;many2many;stock.location.route;route_ids;many2many;stock.location.route;
28;write_date;datetime;;write_date;datetime;;
29;active;boolean;;active;boolean;;
30;delivery_route_id;many2one;stock.location.route;delivery_route_id;many2one;stock.location.route;
31;name;char;;name;char;;
32;write_uid;many2one;res.users;write_uid;many2one;res.users;
33;in_type_id;many2one;stock.picking.type;in_type_id;many2one;stock.picking.type;
34;__last_update;datetime;;__last_update;datetime;;
35;out_type_id;many2one;stock.picking.type;out_type_id;many2one;stock.picking.type;
36;buy_to_resupply;boolean;;buy_to_resupply;boolean;;
37;int_type_id;many2one;stock.picking.type;int_type_id;many2one;stock.picking.type;
38;;;;manufacture_steps;selection;;mrp_one_step
