source_model;ir.sequence;target_model;ir.sequence;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;create_uid;many2one;res.users;create_uid;many2one;res.users;
2;code;char;;code;char;;
3;display_name;char;;display_name;char;;
4;name;char;;name;char;;
5;number_next;integer;;number_next;integer;;
6;__last_update;datetime;;__last_update;datetime;;
7;implementation;selection;;implementation;selection;;
8;company_id;many2one;res.company;company_id;many2one;res.company;
9;write_uid;many2one;res.users;write_uid;many2one;res.users;
10;padding;integer;;padding;integer;;
11;number_increment;integer;;number_increment;integer;;
12;prefix;char;;prefix;char;;
13;date_range_ids;one2many;ir.sequence.date_range;date_range_ids;one2many;ir.sequence.date_range;
14;use_date_range;boolean;;use_date_range;boolean;;
15;write_date;datetime;;write_date;datetime;;
16;number_next_actual;integer;;number_next_actual;integer;;
17;create_date;datetime;;create_date;datetime;;
18;active;boolean;;active;boolean;;
19;id;integer;;id;integer;;
20;suffix;char;;suffix;char;;
